year,region,comp,compcode,place,group,university,score,award,gender
2011,south,Quarterfinal,4,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,434,2,coed
2011,south,Semifinal,1,1,AcaBelles,FLORIDA STATE UNIVERSITY,430,1,female
2011,south,Quarterfinal,4,2,AcaBelles,FLORIDA STATE UNIVERSITY,411,1,female
2010,wildcard,Wildcard,1,3,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,332,0,coed
2010,south,Semifinal,1,3,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,310,1,coed
2010,south,Quarterfinal,1,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,412,2,coed
2010,south,Quarterfinal,1,3,AcaBelles,FLORIDA STATE UNIVERSITY,323,0,female
2009,south,Quarterfinal,3,2,Reverb,FLORIDA STATE UNIVERSITY,345,1,male
2009,south,Semifinal,1,1,AcaBelles,FLORIDA STATE UNIVERSITY,437,1,female
2009,south,Quarterfinal,3,1,AcaBelles,FLORIDA STATE UNIVERSITY,423,1,female
2008,south,Semifinal,1,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,437,2,coed
2008,south,Quarterfinal,2,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,432,2,coed
2008,final,Final,1,2,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,384,0,coed
2007,south,Semifinal,1,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,422,1,coed
2007,south,Quarterfinal,1,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,431,4,coed
2006,south,Semifinal,1,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,402,1,coed
2006,south,Quarterfinal,1,1,All-Night Yahtzee,FLORIDA STATE UNIVERSITY,409,2,coed
2017,northeast,Quarterfinal,4,2,Hot Notes,FORDHAM UNIVERSITY,342,0,coed
2016,mid-atlantic,Quarterfinal,5,3,Ramblers,FORDHAM UNIVERSITY,294,0,male
2016,mid-atlantic,Quarterfinal,2,2,Hot Notes,FORDHAM UNIVERSITY,383,1,coed
2014,mid-atlantic,Quarterfinal,4,2,Ramblers,FORDHAM UNIVERSITY,308,1,male
2013,mid-atlantic,Semifinal,1,2,Ramblers,FORDHAM UNIVERSITY,340,1,male
2013,mid-atlantic,Quarterfinal,1,1,Ramblers,FORDHAM UNIVERSITY,417,1,male
2010,northeast,Semifinal,1,3,Ramblers,FORDHAM UNIVERSITY,327,2,male
2010,northeast,Quarterfinal,2,2,Ramblers,FORDHAM UNIVERSITY,333,3,male
2008,west,Quarterfinal,1,2,These Guys,CALIFORNIA STATE UNIVERSITY-FULLERTON,368,1,NA
2017,northwest,Quarterfinal,1,3,Quakers & Notes,GEORGE FOX UNIVERSITY,362,1,coed
2019,mid-atlantic,Quarterfinal,1,2,Mason Some Noise,GEORGE MASON UNIVERSITY,319,3,coed
2019,mid-atlantic,Quarterfinal,1,1,Vibes,GEORGE WASHINGTON UNIVERSITY,423,2,coed
2018,mid-atlantic,Quarterfinal,1,2,Vibes,GEORGE WASHINGTON UNIVERSITY,364,2,coed
2017,mid-atlantic,Quarterfinal,2,2,Vibes,GEORGE WASHINGTON UNIVERSITY,360,2,coed
2017,mid-atlantic,Quarterfinal,3,1,Superfood,GEORGETOWN UNIVERSITY,383,2,coed
2015,mid-atlantic,Quarterfinal,1,2,Superfood,GEORGETOWN UNIVERSITY,371,2,coed
2010,south,Quarterfinal,3,2,Phantoms,GEORGETOWN UNIVERSITY,360,1,coed
2019,south,Quarterfinal,3,2,Infinite Harmony,GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS,344,0,coed
2018,south,Quarterfinal,3,1,Sympathetic Vibrations,GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS,409,1,male
2017,south,Semifinal,1,2,Sympathetic Vibrations,GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS,353,1,male
2017,south,Quarterfinal,4,1,Sympathetic Vibrations,GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS,409,1,male
2006,south,Quarterfinal,1,3,Sympathetic Vibrations,GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS,328,1,male
2018,great lakes,Quarterfinal,4,2,Euphoria,GRAND VALLEY STATE UNIVERSITY,349,0,coed
2017,great lakes,Quarterfinal,5,1,Euphoria,GRAND VALLEY STATE UNIVERSITY,402,2,coed
2015,great lakes,Quarterfinal,3,3,GV Groove,GRAND VALLEY STATE UNIVERSITY,280,1,coed
2019,northeast,Quarterfinal,1,3,Opportunes,HARVARD UNIVERSITY,309,0,coed
2018,northeast,Quarterfinal,3,1,Under Construction,HARVARD UNIVERSITY,420,1,coed
2018,northeast,Semifinal,1,2,Opportunes,HARVARD UNIVERSITY,344,1,coed
2018,northeast,Quarterfinal,1,2,Opportunes,HARVARD UNIVERSITY,354,1,coed
2018,northeast,Semifinal,1,3,Lowkeys,HARVARD UNIVERSITY,302,0,coed
2018,northeast,Quarterfinal,2,1,Lowkeys,HARVARD UNIVERSITY,360,1,coed
2017,northeast,Quarterfinal,3,3,Veritones,HARVARD UNIVERSITY,332,1,coed
2017,northeast,Quarterfinal,1,2,Lowkeys,HARVARD UNIVERSITY,402,3,coed
2016,northeast,Quarterfinal,4,1,Veritones,HARVARD UNIVERSITY,385,3,coed
2015,northeast,Quarterfinal,1,2,Opportunes,HARVARD UNIVERSITY,371,1,coed
2014,northeast,Quarterfinal,2,3,Callbacks,HARVARD UNIVERSITY,293,0,coed
2011,northeast,Quarterfinal,1,2,Opportunes,HARVARD UNIVERSITY,368,1,coed
2010,northeast,Quarterfinal,1,3,Lowkeys,HARVARD UNIVERSITY,321,0,coed
2009,northeast,Quarterfinal,2,2,Opportunes,HARVARD UNIVERSITY,349,1,coed
2009,northeast,Quarterfinal,4,2,Lowkeys,HARVARD UNIVERSITY,338,1,coed
2007,new england,Quarterfinal,3,1,Lowkeys,HARVARD UNIVERSITY,343,2,coed
2006,new england,Semifinal,1,3,Lowkeys,HARVARD UNIVERSITY,329,1,coed
2006,new england,Quarterfinal,2,1,Lowkeys,HARVARD UNIVERSITY,408,2,coed
2018,southwest,Semifinal,1,3,Millennial Vibe,HASTINGS COLLEGE,319,1,coed
2018,southwest,Quarterfinal,2,2,Millennial Vibe,HASTINGS COLLEGE,404,1,coed
2009,midwest,Quarterfinal,4,3,NA,HASTINGS COLLEGE,305,0,NA
2014,mid-atlantic,Quarterfinal,2,3,Outskirts,HAVERFORD COLLEGE,309,1,female
2009,mid-atlantic,Quarterfinal,4,3,Ford S-Chords,HAVERFORD COLLEGE,306,1,male
2019,northeast,Quarterfinal,5,2,Sigma'cappella,HOFSTRA UNIVERSITY,343,0,coed
2018,mid-atlantic,Quarterfinal,5,3,Sigma’cappella,HOFSTRA UNIVERSITY,344,2,coed
2018,mid-atlantic,Quarterfinal,5,1,Hofbeats,HOFSTRA UNIVERSITY,360,0,coed
2017,mid-atlantic,Quarterfinal,4,2,Sigma'cappella,HOFSTRA UNIVERSITY,335,1,coed
2015,northeast,Quarterfinal,2,1,Sigma'cappella,HOFSTRA UNIVERSITY,398,1,coed
2019,great lakes,Quarterfinal,4,2,Clefhangers,ILLINOIS STATE UNIVERSITY,314,2,coed
2019,great lakes,Quarterfinal,1,3,Acafellaz,ILLINOIS STATE UNIVERSITY,323,0,male
2018,great lakes,Quarterfinal,2,2,Secondary Dominance,ILLINOIS STATE UNIVERSITY,338,1,female
2017,great lakes,Quarterfinal,4,3,Acafellaz,ILLINOIS STATE UNIVERSITY,332,1,male
2016,great lakes,Quarterfinal,2,3,Acafellaz,ILLINOIS STATE UNIVERSITY,302,0,male
2010,midwest,Quarterfinal,3,2,Secondary Dominance,ILLINOIS STATE UNIVERSITY,327,1,female
2017,united kingdom,Quarterfinal,1,3,Scopes,IMPERIAL COLLEGE LONDON,313,0,coed
2016,united kingdom,Semifinal,1,1,Techtonics,IMPERIAL COLLEGE LONDON,414,1,male
2016,united kingdom,Quarterfinal,1,1,Techtonics,IMPERIAL COLLEGE LONDON,412,2,male
2016,final,Final,1,1,Techtonics,IMPERIAL COLLEGE LONDON,384,0,male
2016,united kingdom,Quarterfinal,1,3,Scopes,IMPERIAL COLLEGE LONDON,268,0,coed
2013,great lakes,Quarterfinal,4,1,Shades of Hue,INDIANA UNIVERSITY-BLOOMINGTON,388,1,coed
2019,central,Quarterfinal,1,3,Voicestream,ITHACA COLLEGE,368,0,coed
2019,central,Semifinal,1,2,Ithacappella,ITHACA COLLEGE,326,0,male
2019,central,Quarterfinal,1,2,Ithacappella,ITHACA COLLEGE,392,0,male
2018,central,Quarterfinal,3,3,Voicestream,ITHACA COLLEGE,296,0,coed
2017,central,Quarterfinal,3,1,Voicestream,ITHACA COLLEGE,369,0,coed
2016,central,Semifinal,1,3,Premium Blend,ITHACA COLLEGE,316,0,female
2016,central,Quarterfinal,1,1,Premium Blend,ITHACA COLLEGE,435,2,female
2015,northeast,Quarterfinal,1,3,Ithacappella,ITHACA COLLEGE,327,1,male
2014,mid-atlantic,Quarterfinal,5,2,Voicestream,ITHACA COLLEGE,328,2,coed
2009,mid-atlantic,Semifinal,1,1,Ithacappella,ITHACA COLLEGE,403,2,male
2009,mid-atlantic,Quarterfinal,1,1,Ithacappella,ITHACA COLLEGE,403,2,male
2007,mid-atlantic,Quarterfinal,1,3,Premium Blend,ITHACA COLLEGE,326,0,female
2007,mid-atlantic,Semifinal,1,2,Ithacappella,ITHACA COLLEGE,323,0,male
2007,mid-atlantic,Quarterfinal,4,1,Ithacappella,ITHACA COLLEGE,378,0,male
2006,mid-atlantic,Quarterfinal,4,3,Premium Blend,ITHACA COLLEGE,351,0,female
2006,mid-atlantic,Semifinal,1,2,Ithacappella,ITHACA COLLEGE,383,0,male
2006,mid-atlantic,Quarterfinal,4,2,Ithacappella,ITHACA COLLEGE,396,1,male
2019,mid-atlantic,Quarterfinal,1,3,Note-oriety,JAMES MADISON UNIVERSITY,315,0,female
2016,south,Quarterfinal,1,1,Bluestones,JAMES MADISON UNIVERSITY,361,1,female
2015,south,Quarterfinal,3,3,Bluestones,JAMES MADISON UNIVERSITY,310,1,female
2012,south,Quarterfinal,2,3,Bluestones,JAMES MADISON UNIVERSITY,318,0,female
2009,south,Quarterfinal,1,3,Bluestones,JAMES MADISON UNIVERSITY,349,0,female
2008,south,Quarterfinal,1,2,Madison Project,JAMES MADISON UNIVERSITY,401,1,male
2017,mid-atlantic,Quarterfinal,5,3,Vocal Chords,JOHNS HOPKINS UNIVERSITY,323,1,coed
2016,mid-atlantic,Quarterfinal,4,1,Octopodes,JOHNS HOPKINS UNIVERSITY,429,2,coed
2016,mid-atlantic,Quarterfinal,4,3,AllNighters,JOHNS HOPKINS UNIVERSITY,323,1,male
2015,mid-atlantic,Quarterfinal,2,2,Octopodes,JOHNS HOPKINS UNIVERSITY,404,1,coed
2013,south,Quarterfinal,4,1,Octopodes,JOHNS HOPKINS UNIVERSITY,428,2,coed
2013,south,Quarterfinal,4,3,AllNighters,JOHNS HOPKINS UNIVERSITY,329,1,male
2012,south,Quarterfinal,4,1,Octopodes,JOHNS HOPKINS UNIVERSITY,426,2,coed
2011,south,Quarterfinal,3,3,Vocal Chords,JOHNS HOPKINS UNIVERSITY,307,0,coed
2011,south,Quarterfinal,3,1,Octopodes,JOHNS HOPKINS UNIVERSITY,415,2,coed
2010,south,Quarterfinal,3,3,Octopodes,JOHNS HOPKINS UNIVERSITY,349,1,coed
2009,mid-atlantic,Quarterfinal,3,2,AllNighters,JOHNS HOPKINS UNIVERSITY,348,1,male
2007,south,Quarterfinal,2,2,Octopodes,JOHNS HOPKINS UNIVERSITY,339,2,coed
2007,south,Quarterfinal,2,3,AllNighters,JOHNS HOPKINS UNIVERSITY,327,1,male
2018,midwest,Quarterfinal,1,2,Kent Clarks,KENT STATE UNIVERSITY,356,1,coed
2016,central,Quarterfinal,2,3,Kent Clarks,KENT STATE UNIVERSITY,344,1,coed
2015,great lakes,Quarterfinal,1,3,Kent Clarks,KENT STATE UNIVERSITY AT KENT,279,0,coed
2018,united kingdom,Semifinal,1,1,Rolling Tones,KING'S COLLEGE LONDON,432,1,female
2018,united kingdom,Quarterfinal,3,1,Rolling Tones,KING'S COLLEGE LONDON,407,1,female
2017,united kingdom,Semifinal,1,2,Rolling Tones,KING'S COLLEGE LONDON,344,0,female
2017,united kingdom,Quarterfinal,1,1,Rolling Tones,KING'S COLLEGE LONDON,420,3,female
2015,united kingdom,Semifinal,1,1,All The King's Men,KING'S COLLEGE LONDON,371,1,male
2014,international,Semifinal,1,1,All The King's Men,KING'S COLLEGE LONDON,364,0,male
2012,final,Final,1,3,All The King's Men,KING'S COLLEGE LONDON,350,0,male
2017,mid-atlantic,Quarterfinal,1,3,Soulfege,LAFAYETTE COLLEGE,296,1,coed
2006,mid-atlantic,Quarterfinal,1,2,Chorduroys,LAFAYETTE COLLEGE,365,1,male
2019,mid-atlantic,Quarterfinal,4,3,Melismatics,LEHIGH UNIVERSITY,327,0,coed
2017,mid-atlantic,Quarterfinal,4,1,Melismatics,LEHIGH UNIVERSITY,355,2,coed
2016,mid-atlantic,Quarterfinal,3,1,Melismatics,LEHIGH UNIVERSITY,414,1,coed
2012,mid-atlantic,Quarterfinal,2,3,Melismatics,LEHIGH UNIVERSITY,312,0,coed
2010,mid-atlantic,Quarterfinal,1,2,Melismatics,LEHIGH UNIVERSITY,346,1,coed
2009,mid-atlantic,Quarterfinal,3,1,Melismatics,LEHIGH UNIVERSITY,387,2,coed
2009,mid-atlantic,Quarterfinal,1,3,A Whole Step Up,LEHIGH UNIVERSITY,285,0,male
2018,west,Quarterfinal,1,3,Blue Light Special,LINN-BENTON COMMUNITY COLLEGE,243,1,male
2008,south,Quarterfinal,1,3,Belles,LOYOLA UNIVERSITY MARYLAND,383,2,female
2018,great lakes,Quarterfinal,2,3,Counterpoint,LOYOLA UNIVERSITY CHICAGO,309,0,coed
2007,midwest,Quarterfinal,3,3,Undeclared,LUTHER COLLEGE,309,1,male
2017,northeast,Quarterfinal,4,3,Triplets,MACAULAY HONORS COLLEGE AT CUNY,297,1,coed
2019,great lakes,Quarterfinal,1,1,Naturals,MARQUETTE UNIVERSITY,421,1,male
2015,midwest,Quarterfinal,3,2,Naturals,MARQUETTE UNIVERSITY,351,0,male
2013,northeast,Quarterfinal,4,2,Allegrettos,MASSACHUSETTS COLLEGE OF LIBERAL ARTS,332,0,coed
2009,northeast,Semifinal,1,2,Effusion,MCGILL UNIVERSITY,373,0,coed
2009,northeast,Quarterfinal,1,2,Effusion,MCGILL UNIVERSITY,416,1,coed
2007,northeast,Semifinal,1,3,Solstice,MCGILL UNIVERSITY,287,0,coed
2007,northeast,Quarterfinal,4,1,Solstice,MCGILL UNIVERSITY,418,3,coed
2006,northeast,Quarterfinal,3,1,Solstice,MCGILL UNIVERSITY,392,2,coed
2006,northeast,Semifinal,1,1,Effusion,MCGILL UNIVERSITY,402,1,coed
2006,northeast,Quarterfinal,3,2,Effusion,MCGILL UNIVERSITY,349,1,coed
2015,great lakes,Quarterfinal,4,3,Soul2Soul,MIAMI UNIVERSITY-OXFORD,308,1,male
2014,great lakes,Quarterfinal,5,1,Soul2Soul,MIAMI UNIVERSITY-OXFORD,407,3,male
2009,midwest,Quarterfinal,1,3,Misfitz,MIAMI UNIVERSITY-OXFORD,362,3,female
2007,midwest,Quarterfinal,1,3,Misfitz,MIAMI UNIVERSITY-OXFORD,317,0,female
2006,mid-atlantic,Quarterfinal,2,2,Misfitz,MIAMI UNIVERSITY-OXFORD,369,0,female
2019,great lakes,Quarterfinal,3,1,State of Fifths,MICHIGAN STATE UNIVERSITY,389,1,coed
2019,great lakes,Quarterfinal,3,3,Accafellas,MICHIGAN STATE UNIVERSITY,301,0,male
2018,great lakes,Quarterfinal,4,1,State of Fifths,MICHIGAN STATE UNIVERSITY,366,1,coed
2018,great lakes,Quarterfinal,4,3,Capital Green,MICHIGAN STATE UNIVERSITY,330,0,coed
2017,great lakes,Quarterfinal,5,3,State of Fifths,MICHIGAN STATE UNIVERSITY,330,0,coed
2017,great lakes,Quarterfinal,5,2,Ladies First,MICHIGAN STATE UNIVERSITY,390,1,female
2016,great lakes,Quarterfinal,2,2,State of Fifths,MICHIGAN STATE UNIVERSITY,307,0,coed
2016,great lakes,Quarterfinal,5,2,Ladies First,MICHIGAN STATE UNIVERSITY,387,0,female
2016,great lakes,Quarterfinal,5,3,Accafellas,MICHIGAN STATE UNIVERSITY,281,0,male
2015,great lakes,Semifinal,1,2,State of Fifths,MICHIGAN STATE UNIVERSITY,340,0,coed
2015,great lakes,Quarterfinal,1,2,State of Fifths,MICHIGAN STATE UNIVERSITY,356,0,coed
2015,great lakes,Quarterfinal,3,1,Capital Green,MICHIGAN STATE UNIVERSITY,373,2,coed
2015,great lakes,Quarterfinal,3,2,Accafellas,MICHIGAN STATE UNIVERSITY,336,0,male
2014,great lakes,Semifinal,1,2,State of Fifths,MICHIGAN STATE UNIVERSITY,348,1,coed
2014,great lakes,Quarterfinal,1,1,State of Fifths,MICHIGAN STATE UNIVERSITY,401,1,coed
2014,great lakes,Quarterfinal,1,2,Ladies First,MICHIGAN STATE UNIVERSITY,372,3,female
2014,great lakes,Quarterfinal,1,3,Accafellas,MICHIGAN STATE UNIVERSITY,288,0,male
2013,great lakes,Quarterfinal,1,3,State of Fifths,MICHIGAN STATE UNIVERSITY,NA,2,coed
2013,great lakes,Quarterfinal,1,2,Capital Green,MICHIGAN STATE UNIVERSITY,354,0,coed
2013,great lakes,Semifinal,1,2,Accafellas,MICHIGAN STATE UNIVERSITY,339,0,male
2013,great lakes,Quarterfinal,1,1,Accafellas,MICHIGAN STATE UNIVERSITY,375,1,male
2012,midwest,Quarterfinal,5,3,State of Fifths,MICHIGAN STATE UNIVERSITY,331,0,coed
2012,midwest,Quarterfinal,3,3,Accafellas,MICHIGAN STATE UNIVERSITY,338,2,male
2011,midwest,Quarterfinal,2,3,Capital Green,MICHIGAN STATE UNIVERSITY,344,0,coed
2009,midwest,Quarterfinal,2,1,Capital Green,MICHIGAN STATE UNIVERSITY,400,0,coed
2008,midwest,Quarterfinal,3,3,Capital Green,MICHIGAN STATE UNIVERSITY,312,0,coed
2008,midwest,Quarterfinal,2,1,Accafellas,MICHIGAN STATE UNIVERSITY,431,2,male
2007,midwest,Quarterfinal,3,2,Capital Green,MICHIGAN STATE UNIVERSITY,357,1,coed
2006,midwest,Quarterfinal,1,3,Spartan Dischords,MICHIGAN STATE UNIVERSITY,358,1,male
2006,midwest,Quarterfinal,1,2,Capital Green,MICHIGAN STATE UNIVERSITY,369,0,coed
2006,midwest,Quarterfinal,1,1,Accafellas,MICHIGAN STATE UNIVERSITY,376,0,male
2019,midwest,Quarterfinal,1,1,Dissonance,MILLIKIN UNIVERSITY,338,1,coed
2007,midwest,Quarterfinal,4,2,5one,MILLIKIN UNIVERSITY,425,1,male
2019,midwest,Quarterfinal,2,3,Hibernotes,MISSOURI STATE UNIVERSITY-SPRINGFIELD,323,1,coed
2019,midwest,Quarterfinal,2,1,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,389,1,male
2018,midwest,Quarterfinal,4,1,Hibernotes,MISSOURI STATE UNIVERSITY-SPRINGFIELD,383,3,coed
2018,midwest,Semifinal,1,1,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,388,1,male
2018,midwest,Quarterfinal,4,2,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,363,0,male
2018,midwest,Quarterfinal,4,3,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,335,1,female
2017,midwest,Semifinal,1,2,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,346,1,male
2017,midwest,Quarterfinal,4,1,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,343,1,male
2016,midwest,Semifinal,1,2,Hibernotes,MISSOURI STATE UNIVERSITY-SPRINGFIELD,304,0,coed
2016,midwest,Quarterfinal,2,1,Hibernotes,MISSOURI STATE UNIVERSITY-SPRINGFIELD,395,2,coed
2016,midwest,Semifinal,1,3,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,302,0,male
2016,midwest,Quarterfinal,5,2,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,338,2,male
2015,midwest,Quarterfinal,4,3,Hibernotes,MISSOURI STATE UNIVERSITY-SPRINGFIELD,360,1,coed
2015,midwest,Quarterfinal,4,1,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,422,2,male
2014,midwest,Semifinal,1,3,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,324,0,male
2014,midwest,Quarterfinal,2,1,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,380,0,male
2014,midwest,Quarterfinal,2,3,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,345,1,female
2013,midwest,Quarterfinal,2,1,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,350,1,male
2013,midwest,Quarterfinal,3,3,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,337,0,female
2012,midwest,Quarterfinal,4,2,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,331,0,male
2012,midwest,Quarterfinal,4,1,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,389,2,female
2011,midwest,Quarterfinal,3,2,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,366,0,male
2011,midwest,Quarterfinal,1,1,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,450,1,female
2010,midwest,Quarterfinal,3,1,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,382,0,female
2009,midwest,Semifinal,1,1,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,401,1,male
2009,midwest,Quarterfinal,1,2,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,370,1,male
2009,final,Final,1,3,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,361,0,male
2009,midwest,Quarterfinal,4,2,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,406,1,female
2008,midwest,Quarterfinal,4,1,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,429,2,male
2008,midwest,Semifinal,1,3,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,327,0,female
2008,midwest,Quarterfinal,4,2,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,363,0,female
2007,midwest,Quarterfinal,4,3,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,345,0,male
2007,midwest,Quarterfinal,4,1,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,440,1,female
2006,midwest,Quarterfinal,3,2,Beartones,MISSOURI STATE UNIVERSITY-SPRINGFIELD,384,1,male
2006,midwest,Semifinal,1,2,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,370,1,female
2006,midwest,Quarterfinal,3,1,A Cub Bella,MISSOURI STATE UNIVERSITY-SPRINGFIELD,424,1,female
2012,northeast,Quarterfinal,1,2,Chorallaries,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,364,0,coed
2009,northeast,Quarterfinal,3,2,Chorallaries,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,370,2,coed
2006,new england,Semifinal,1,1,Chorallaries,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,399,0,coed
2006,new england,Quarterfinal,1,3,Chorallaries,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NA,0,coed
2006,new england,Quarterfinal,4,1,Chorallaries,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,363,1,coed
2010,northeast,Quarterfinal,4,3,V8s,MOUNT HOLYOKE COLLEGE,346,1,female
2006,new england,Quarterfinal,1,2,M&Cs,MOUNT HOLYOKE COLLEGE,367,1,female
2017,southwest,Quarterfinal,3,2,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,338,0,male
2016,southwest,Semifinal,1,3,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,303,0,male
2016,southwest,Quarterfinal,1,2,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,383,1,male
2015,west,Quarterfinal,4,3,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,345,2,male
2014,west,Quarterfinal,5,2,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,402,1,male
2012,west,Semifinal,1,3,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,374,1,male
2012,west,Quarterfinal,4,1,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,401,1,male
2009,west,Semifinal,1,1,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,380,1,male
2009,west,Quarterfinal,3,1,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,426,2,male
2009,final,Final,1,1,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,445,3,male
2008,west,Quarterfinal,4,1,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,433,1,male
2006,west,Quarterfinal,2,3,Nothin’ But Treble,MT. SAN ANTONIO COLLEGE,345,1,female
2006,west,Quarterfinal,2,2,Fermata Nowhere,MT. SAN ANTONIO COLLEGE,411,2,male
2017,midwest,Quarterfinal,2,3,EQ Blu,MURRAY STATE UNIVERSITY,298,1,coed
2013,international,Semifinal,1,2,Vive,NA,350,0,coed
2013,international,Semifinal,1,1,Sons of Pitches,NA,363,0,male
2008,mid-atlantic,Semifinal,1,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Semifinal,1,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Semifinal,1,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,1,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,1,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,1,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,2,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,2,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,2,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,3,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,3,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,3,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,4,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,4,NA,NA,NA,NA,NA,NA
2008,mid-atlantic,Quarterfinal,4,NA,NA,NA,NA,NA,NA
2019,northeast,Quarterfinal,5,1,Vocaholics,NEW YORK UNIVERSITY,422,3,coed
2019,final,Final,1,1,N’Harmonics,NEW YORK UNIVERSITY,444,2,coed
2019,northeast,Semifinal,1,1,N’Harmonics,NEW YORK UNIVERSITY,364,0,coed
2019,northeast,Quarterfinal,3,1,N’Harmonics,NEW YORK UNIVERSITY,433,3,coed
2019,northeast,Quarterfinal,3,3,Mixtapes,NEW YORK UNIVERSITY,315,0,coed
2018,northeast,Quarterfinal,4,3,Vocaholics,NEW YORK UNIVERSITY,277,0,coed
2018,northeast,Quarterfinal,4,1,Mixtapes,NEW YORK UNIVERSITY,364,1,coed
2017,wildcard,Wildcard,1,3,N’Harmonics,NEW YORK UNIVERSITY,342,0,coed
2017,northeast,Semifinal,1,3,N’Harmonics,NEW YORK UNIVERSITY,345,0,coed
2017,northeast,Quarterfinal,4,1,N’Harmonics,NEW YORK UNIVERSITY,409,2,coed
2016,mid-atlantic,Quarterfinal,5,1,Mixtapes,NEW YORK UNIVERSITY,392,2,coed
2015,northeast,Quarterfinal,2,2,N’Harmonics,NEW YORK UNIVERSITY,373,1,coed
